NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
90029521188;VTech - Ordi-Tablette Genius XL Color Noir, Ordinateur Enfant, Tablette Ă‰ducative - 5/8 Ans - Version FR;3,41776E+11;B00JE1NCJC;LPNHE940925770;60,525;60,525;;;;;;;;Toy;gl_toy;2102500;;2102503;
16742257;Monster Jam Megalodon Storm, RC Truck, Amphibienfahrzeug in Hai-Optik fĂĽr Land und Wasser, MaĂźstab 1:15 - kinderleichte Bedienung, ab 4 Jahren;7,78988E+11;B0848KXPZ2;LPNHE812735748;59,99;59,99;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100475;Vehicles - Licensed
16742257;Baby Einstein, Sea Dreams Soother Luce Notturna Succhietto musicale per culla, luci e melodie, dal neonato +;74451110588;B07DM86Z43;LPNRP017528526;59,99;59,99;;;;;;;;Baby Product;gl_baby_product;7506500;Gifts, Decor & All Other;7506560;Infant Toys
16742257;Vtech mit Bluetooth, Kidi DJ Mix â€“ 10-in-1 DJ-Mischpult mit Launchpad, Jog-Wheel und vielen Effekten zum Bearbeiten der Musik â€“ FĂĽr Kinder von 6-12 Jahren, Mehrfarbig;3,41777E+12;B0928Z1NBY;LPNHE847819001;59,99;59,99;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100624;Ps Learning Toys
90029521188;EXOST Coche teledirigido - Gyrotex 2,4 GHz - RotaciĂłn sobre 2 Ruedas - Juguete Infantil - A Partir de 5 aĂ±os;4,89181E+12;B0972SZVT1;LPNWE288040485;59,99;59,99;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100406;Remote Control Vehicles
16742813;Hot Wheels RC Rhinomite radiocontrol Coche de Juguete teledirigido con Mando se transforma en Pista, 5 aĂ±os (Mattel HPK27);1,94735E+11;B0BRSHND4S;LPNIC103491077;59,95;59,95;;;;;;;;Toy;gl_toy;2100402;;1606284255;
90029521188;Smart Ball - Soccerbot, Entrenador Personal de FĂştbol Indoor, Bot con Sensores para Seguir al BalĂłn, Maniobrando para Probar tus Habilidades, Pantalla LCD para la PuntuaciĂłn, Famosa (MR100000);8,05638E+12;B0D54BMJKR;LPNIC000608430;59,95;59,95;;;;;;;;Toy;gl_toy;2100900;Outdoor & Sports Toys;2100919;
16742813;Playskool Rock nâ€™ Roll Bot, Bluetooth Lautsprecher und stimmverzerrendes Karaoke-Mikrofon Spielzeug (Amazon Exclusive);93514232418;B099ZXL15V;LPNHE815418565;56,28;56,28;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100602;All Other Ps Toys
16742813;Ravensburger - Puzzle 3D, Il Sistema Planetario, per Adulti e Bambini 10+ Anni, Idea Regalo, 540 Pezzi;4,00556E+12;B079NPW2DZ;LPNA036590025;55,695;55,695;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100320;Family Dice / Word / Other
90029481807;PokĂ©mon Set Allenatore Fuoriclasse dellâ€™espansione Scarlatto e Violetto - Segreto Fiabesco del GCC (1 carta promozionale a figura intera, 9 buste di espansione e accessori premium), ediz. in italiano;8,20651E+11;B0D4ZNJCPL;LPNHE911988434;54,9;54,9;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100335;
90029481807;PokĂ©mon Set Allenatore Fuoriclasse dellâ€™espansione Scarlatto e Violetto - Segreto Fiabesco del GCC (1 carta promozionale a figura intera, 9 buste di espansione e accessori premium), ediz. in italiano;8,20651E+11;B0D4ZNJCPL;LPNHE911987944;54,9;54,9;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100335;
16742813;Ravensburger tiptoi Starter-Set 00113: Stift und WĂ¶rter-Bilderbuch Kindergarten - Lernspiele fĂĽr Kinder ab 3 Jahren - Spielzeug ab 3 Jahre;4,00556E+12;B09TPTD7X2;LPNHE822437860;53,97;53,97;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101875;Learning & Exploration - Licensed
90029481807;VTech Kidi DJ Mix â€“ 10-in-1 DJ-Mischpult mit Jog-Wheel und vielen Effekten zum Bearbeiten der Musik â€“ FĂĽr Kinder von 6-12 Jahren, Schwarz;3,41777E+12;B0928Z1NBY;LPNRP036056754;53,01;53,01;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100624;Ps Learning Toys
16742257;Ravensburger tiptoi Starter-Set 00114: Stift und Bauernhof-Buch â€“ Spielzeug fĂĽr Kinder ab 4 Jahren â€“ Lernspiele ab 4 Jahre;4,00556E+12;B09TPRPDF9;LPNHE823793664;52,99;52,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101875;Learning & Exploration - Licensed
